# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
#  
# Start date: 20220129
# End date: 20230129
Country ID,Users
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,556
Sports & Fitness/Sports Fans/Water Sports Enthusiasts,549
Media & Entertainment/Music Lovers/Country Music Fans,545
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,519
Travel/Travel Buffs/Snowbound Travelers,495
Sports & Fitness/Sports Fans/Motor Sports Enthusiasts,468
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,467
Sports & Fitness/Sports Fans/Tennis Enthusiasts,437
Sports & Fitness/Sports Fans/Hockey Fans,373
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,346
Lifestyles & Hobbies/Pet Lovers/Cat Lovers,345
Media & Entertainment/Movie Lovers/Comedy Movie Fans,341
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,317
Media & Entertainment/Movie Lovers/Family Movie Fans,315
Media & Entertainment/Gamers/Hardcore Gamers,306
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,273
Media & Entertainment/Gamers/Casual & Social Gamers,255
Sports & Fitness/Sports Fans/Fight & Wrestling Fans,253
Media & Entertainment/Music Lovers/World Music Fans,248
Media & Entertainment/TV Lovers/Sci-Fi & Fantasy TV Fans,245
Sports & Fitness/Sports Fans/Winter Sports Enthusiasts,209
Media & Entertainment/Movie Lovers/Horror Movie Fans,192
News & Politics/Avid News Readers/Women's Media Fans,175
Media & Entertainment/Music Lovers/Metalheads,172
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,162
Sports & Fitness/Sports Fans/Running Enthusiasts,154
Sports & Fitness/Sports Fans/Cycling Enthusiasts,144
Media & Entertainment/Gamers/Roleplaying Game Fans,140
Sports & Fitness/Sports Fans/Skiing Enthusiasts,140
Media & Entertainment/Gamers/Action Game Fans,119
Media & Entertainment/Music Lovers/Fans of Latin Music,110
Media & Entertainment/Gamers/Shooter Game Fans,92
Shoppers/Shoppers by Store Type/Superstore Shoppers,86
Media & Entertainment/Movie Lovers/Fans of South Asian Film,82
Home & Garden,81
Media & Entertainment/Music Lovers/Folk & Traditional Music Enthusiasts,80
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,79
Media & Entertainment/TV Lovers/Family Television Fans,79
Media & Entertainment/Music Lovers/Jazz Enthusiasts,72
Sports & Fitness/Sports Fans/Swimming Enthusiasts,70
Food & Dining/Frequently Dines Out/Diners by Meal,66
Sports & Fitness/Sports Fans/Cricket Enthusiasts,65
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,58
Media & Entertainment/Music Lovers/Blues Fans,50
Shoppers/Shoppers by Store Type,50
News & Politics/Avid News Readers/Men's Media Fans,46
Media & Entertainment/TV Lovers/Documentary & Nonfiction TV Fans,43

#  
# Start date: 20220129
# End date: 20230129
Age,Users
45-54,2577
35-44,2550
55-64,2327
25-34,1611
65+,1447
18-24,901

#  
# Start date: 20220129
# End date: 20230129
Language,Users
English,100284
Spanish,1794
German,924
French,785
Dutch,227
Portuguese,162
Italian,156
Chinese,142
Danish,124
Swedish,86
Norwegian Bokmål,61
Russian,60
Finnish,41
Japanese,37
Polish,37
