# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,page_view,user_engagement,session_start,first_visit,scroll
0342,2418,812,641,471,428
0343,2639,825,661,466,472
0344,3444,1101,748,521,611
0345,2988,956,722,522,524
0346,3249,1114,743,535,652
0347,2798,1057,733,502,577
0348,2714,981,752,531,549
0349,2169,733,645,457,419
0350,2614,758,789,583,429
0351,3190,865,771,594,551
0352,2617,878,693,527,477
0353,2271,740,666,505,430
0354,2297,840,657,480,471
0355,2362,776,674,464,496
0356,2852,824,696,484,486
0357,2662,816,761,575,436
0358,3291,987,815,602,549
0359,2810,911,782,582,510
0360,2220,747,691,493,440
0361,2450,928,679,506,516
0362,2740,800,658,479,476
0363,2856,880,662,470,466
0364,2607,796,679,495,455
0365,3407,961,766,557,563

# All Users
# Start date: 20220129
# End date: 20230129

Event name,Event count
page_view,428726
user_engagement,168104
session_start,143478
first_visit,104816
scroll,95588
booking_engine_entrances,27803
view_item_list,22317
file_download,18762
click,11141
begin_checkout,3151
phone,2550
food_beverage_kpi,2535
add_to_cart,2532
generate_lead,2230
purchase,1426
email,221
remove_from_cart,83
meetings_rfp,49

# All Users
# Start date: 20220129
# End date: 20230129

Event name,Event count,Total users,Event count per user,Total revenue
page_view,428726,105392,4.070969395990998,0
user_engagement,168104,60913,2.7791756906442706,0
session_start,143478,105113,1.3677206562252748,0
first_visit,104816,104381,1.0041674251061017,0
scroll,95588,50281,1.9048264317882906,0
booking_engine_entrances,27803,18356,1.5146546088472435,0
view_item_list,22317,7173,3.11125052279381,0
file_download,18762,12292,1.5263586072242108,0
click,11141,8148,1.3673294059891998,0
begin_checkout,3151,1854,1.6995685005393744,0
phone,2550,2010,1.2686567164179106,0
food_beverage_kpi,2535,1810,1.4005524861878453,0
add_to_cart,2532,1838,1.3775843307943416,0
generate_lead,2230,824,2.7063106796116503,0
purchase,1426,1259,1.1326449563145353,754727.91
email,221,189,1.1693121693121693,0
remove_from_cart,83,61,1.360655737704918,0
meetings_rfp,49,46,1.065217391304348,0
