# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# 
# Start date: 20220129
# End date: 20230129
Nth day,Faro Blanco Resort Yacht Club - Reservations - Room Availability,Hotels In Marathon FL | Faro Blanco Resort & Marina,Faro Blanco Resort | Resorts in Marathon FL | Official Website,Faro Blanco Resort Yacht Club - Reservations - Guest Details,Marathon Key Restaurants | Dining | Faro Blanco Resort & Marina
0308,444,482,0,62,0
0309,474,407,0,92,0
0310,530,528,0,92,0
0311,574,473,0,126,0
0312,509,453,0,102,0
0313,524,429,0,78,0
0314,404,420,0,58,0
0315,337,333,0,58,0
0316,589,426,0,63,0
0317,436,418,0,67,0
0318,510,374,0,103,0
0319,542,442,0,90,0
0320,472,413,0,91,0
0321,432,314,0,78,0
0322,337,350,0,51,0
0323,421,358,0,52,0
0324,410,384,0,60,0
0325,544,347,0,82,0
0326,730,287,0,126,0
0327,1453,491,0,215,0
0328,770,347,0,112,0
0329,534,321,0,84,0
0330,621,382,0,98,0
0331,1442,547,0,140,0
0332,977,470,0,97,0
0333,879,429,0,135,0
0334,917,429,0,104,0
0335,830,449,0,131,0
0336,582,464,0,67,0
0337,912,507,0,129,0
0338,843,548,0,128,0
0339,1252,618,0,289,0
0340,2033,1120,0,357,0
0341,1461,670,0,271,0
0342,962,513,0,154,0
0343,1035,554,0,209,0
0344,1447,672,0,249,0
0345,1268,588,0,240,0
0346,1312,659,0,230,0
0347,972,625,0,218,0
0348,995,612,0,160,0
0349,820,476,0,132,0
0350,1027,654,0,188,0
0351,1384,687,0,244,0
0352,1093,556,0,152,0
0353,850,564,0,147,0
0354,878,541,0,120,0
0355,918,508,0,133,0
0356,1196,533,0,244,0
0357,991,570,0,165,0
0358,1337,637,0,225,0
0359,1069,656,0,181,0
0360,807,504,0,121,0
0361,829,587,0,136,0
0362,1200,547,0,204,0
0363,1188,537,0,264,0
0364,1043,580,0,204,0
0365,1531,634,0,260,0

# All Users
# Start date: 20220129
# End date: 20230129

Page title and screen class,Views
Faro Blanco Resort Yacht Club - Reservations - Room Availability,139210
Hotels In Marathon FL | Faro Blanco Resort & Marina,56194
Faro Blanco Resort | Resorts in Marathon FL | Official Website,50155
Faro Blanco Resort Yacht Club - Reservations - Guest Details,21907
Marathon Key Restaurants | Dining | Faro Blanco Resort & Marina,12283
Resorts in Marathon FL | Faro Blanco Resort & Marina | Rooms,11229
Marathon Key Restaurants | Faro Blanco Resort & Marina,10598
Live Florida Keys Webcam | Faro Blanco Resort & Yacht Club,9896
Hotels Marathon Key | Faro Blanco Resort & Marina | Offers,8125
Hotels In Marathon Key Florida | Rooms | Faro Blanco Resort & Marina,7440
Marathon Florida Resorts | Faro Blanco Resort & Marina,7216
Marathon Key Resorts | Faro Blanco Resort & Marina | Photos,7089
Marathon Key West Resorts | Photos | Faro Blanco Resort & Marina,6578
Marathon FL Hotel Deals | Offers | Faro Blanco Resort & Marina,5340
Marathon FL Activities | Faro Blanco Resort & Marina,4844
Marathon Florida Resorts | Resort | Faro Blanco Resort & Marina,3994
Faro Blanco Resort Yacht Club - Reservations - Room Availability for Next Room,3822
Marathon FL Hotel Deals | Faro Blanco Resort & Marina,2316
Marathon FL Activities | Experiences | Faro Blanco Resort & Marina,2285
Hotels In Marathon Key Florida | Faro Blanco Resort & Marina,2054
Marina Marathon FL | Faro Blanco Resort & Marina,1853
Florida Keys Marinas | Marina | Faro Blanco Resort & Marina,1662
Marathon FL Hotels With Boat Slips | Faro Blanco Resort,1574
Faro Blanco Resort Yacht Club - Reservations - Confirmation,1536
Things To Do Marathon FL | Faro Blanco Resort & Marina,1520
Marathon Key West Resorts | Faro Blanco Resort & Marina,1414
Page Not Found,1262
Florida Keys Event Venues | Faro Blanco Resort & Marina,1252
Florida Keys Wedding Venues | Events | Faro Blanco Resort & Marina,1119
Bike Rentals in Marathon FL | Faro Blanco Resort & Yacht Club,991
Contact Us | Faro Blanco Resort & Marina,978
Florida Keys Wedding Venues | Faro Blanco Resort & Marina,925
Hotels In Marathon FL With Boat Slips | FAQ | Faro Blanco Resort,823
Things to do in Marathon FL | Marathon | Faro Blanco Resort & Marina,787
Faro Blanco Resort Yacht Club - Reservations - Search for a Reservation,719
Games | Faro Blanco Resort & Yacht Club,676
Marathon FL Resorts | Contact Us | Faro Blanco Resort & Marina,601
| Faro Blanco Resort & Yacht Club,599
Key West Hotels Marathon | Accessibility | Faro Blanco Resort & Marina,574
Fishing Charters | Faro Blanco Resort,533
Car Rental in Marathon Key Florida | Faro Blanco Resort & Yacht Club,448
Vehicle Rentals | Faro Blanco Resort & Yacht Club,401
Fitness | Faro Blanco Resort & Yacht Club,391
Marathon FL Family Resorts | Games | Faro Blanco Resort & Yacht Club,378
Florida Keys Marinas | Faro Blanco Resort & Marina,377
Best Fishing Charters in Marathon Florida | Faro Blanco Resort,321
Wellness Event - Faro Blanco Resort & Yacht Club,314
"Careers at Faro Blanco Resort in Marathon, FL",313
Faro Blanco Resort Yacht Club - Reservations - Reservation List,313
Faro Blanco Resort Yacht Club - Reservations - Search Reservation Results,306
Sitemap | Faro Blanco Resort & Yacht Club,283
Marathon Wedding Venues | Weddings | Faro Blanco Resort & Yacht Club,270
Faro Blanco Resort Yacht Club - Reservations - Create a Profile,247
Faro Blanco Resort Yacht Club - Reservations - Request A New Password,198
Florida Keys Wedding Deals | Groups | Faro Blanco Resort & Yacht Club,179
Fitness Center near Marathon FL | Faro Blanco Resort & Yacht Club,170
Marathon FL Family Resorts | Faro Blanco Resort & Marina,109
Groups | Faro Blanco Resort & Yacht Club,104
Marathon FL Family Resorts | Privacy Policy | Faro Blanco Resort & Marina,81
Faro Blanco Resort Yacht Club - Reservations - Review Your Stay,70
Marathon Wedding Venues | Faro Blanco Resort & Yacht Club,64
Romance Packages Florida Keys | Faro Blanco Resort & Yacht Club,60
Faro Blanco Resort Yacht Club - Reservations - Your Profile,55
Resort Activities | Faro Blanco Resort & Yacht Club,50
COVID | Faro Blanco Resort & Marina,44
Faro Blanco Resort Yacht Club - Reservations - Create A New Password,41
"Best Florida Keys Hotel Deals | Faro Blanco Resort in Marathon, FL",35
Just The Two of Us | Faro Blanco Resort,30
Event at Faro Blanco - Faro Blanco Resort & Yacht Club,21
Beachfront Villa Suites,13
Careers | Faro Blanco Resort & Yacht Club,11
Faro Blanco Resort Yacht Club - Reservas - Disponibilidad de habitaciones,9
Faro Blanco Resort Yacht Club - Réservations - Disponibilité de la chambre,7
Faro Blanco Resort Yacht Club - Reservierungen - Zimmerverfügbarkeit,4
Faro Blanco Resort Yacht Club - Réservations - Disponibilité des chambres,3
Faro Blanco Resort Yacht Club – Reservierungen – Zimmerverfügbarkeit,2
​​​​​﻿​Faro Blanco Resort Yacht Club - Reservations - Room Availability,2
﻿​​Faro Blanco Resort Yacht Club - Reservations - Room Availability,2
Balneario Faro Blanco | Hoteles en Marathon FL | Página web oficial,1
Centros turísticos de Marathon Key | Faro Blanco Resort & Marina | Fotos,1
Faro Blanco Resort Yacht Club - Rezerwacje - Dostępność pokoi,1
Faro Blanco Resort | Resorts in Marathon FL | Official Website[94],1
Marathon Two Hospitality Holdings - Reservations - Room Availability,1
​​​​​﻿​,1
​​﻿​Hotels Marathon Key | Faro Blanco Resort & Marina | Offers,1
​﻿Hotels In Marathon FL | Faro Blanco Resort & Marina,1
​﻿​,1
​﻿​Faro Blanco Resort Yacht Club - Reservations - Room Availability,1
​﻿﻿Hotels In Marathon FL | Faro Blanco Resort & Marina,1
​﻿﻿﻿Live Florida Keys Webcam | Faro Blanco Resort & Yacht Club,1
﻿Live Florida Keys Webcam | Faro Blanco Resort & Yacht Club,1
﻿​​,1
﻿​​Faro Blanco Resort Yacht Club - Reservations - Guest Details,1
﻿​﻿,1
﻿​﻿Faro Blanco Resort Yacht Club - Reservations - Guest Details,1
﻿​﻿Faro Blanco Resort Yacht Club - Reservations - Room Availability,1
﻿​﻿Hotels In Marathon FL | Faro Blanco Resort & Marina,1
﻿﻿​﻿Live Florida Keys Webcam | Faro Blanco Resort & Yacht Club,1

# All Users
# Start date: 20220129
# End date: 20230129

Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
Faro Blanco Resort Yacht Club - Reservations - Room Availability,139210,39042,3.5656472516776803,75.72865119614774,234695,0,0
Hotels In Marathon FL | Faro Blanco Resort & Marina,56194,35430,1.5860570138300876,27.381964436917865,183811,7376,0
Faro Blanco Resort | Resorts in Marathon FL | Official Website,50155,30851,1.625717156656186,27.721921493630678,164178,5210,0
(not set),29007,20085,1.4442120985810307,0.16056758775205376,44178,0,0
Faro Blanco Resort Yacht Club - Reservations - Guest Details,21907,9278,2.361176977796939,108.89760724294028,36168,1185,639745.11
Marathon Key Restaurants | Dining | Faro Blanco Resort & Marina,12283,7391,1.6618860776620215,12.44229468272223,44229,2068,0
Resorts in Marathon FL | Faro Blanco Resort & Marina | Rooms,11229,8352,1.3444683908045978,45.75047892720306,29690,3552,0
Marathon Key Restaurants | Faro Blanco Resort & Marina,10598,7241,1.4636099986189752,9.622151636514294,39146,646,0
Live Florida Keys Webcam | Faro Blanco Resort & Yacht Club,9896,6631,1.4923842557683606,34.97813301161212,26558,99,0
Hotels Marathon Key | Faro Blanco Resort & Marina | Offers,8125,5825,1.3948497854077253,39.711416309012876,26159,3232,0
Hotels In Marathon Key Florida | Rooms | Faro Blanco Resort & Marina,7440,5436,1.3686534216335542,46.09621044885945,19997,2064,0
Marathon Florida Resorts | Faro Blanco Resort & Marina,7216,4955,1.4563067608476286,38.51442986881938,20142,640,0
Marathon Key Resorts | Faro Blanco Resort & Marina | Photos,7089,5063,1.4001580090855223,58.51313450523405,17207,364,0
Marathon Key West Resorts | Photos | Faro Blanco Resort & Marina,6578,4292,1.532618825722274,52.95316868592731,15677,218,0
Marathon FL Hotel Deals | Offers | Faro Blanco Resort & Marina,5340,3680,1.451086956521739,39.43396739130435,15830,2597,0
Marathon FL Activities | Faro Blanco Resort & Marina,4844,2538,1.9085894405043342,28.753349093774627,11421,58,0
Marathon Florida Resorts | Resort | Faro Blanco Resort & Marina,3994,2683,1.488632128214685,41.27692881103243,10072,155,0
Faro Blanco Resort Yacht Club - Reservations - Room Availability for Next Room,3822,2569,1.4877384196185286,50.0766835344492,9079,0,0
Marathon FL Hotel Deals | Faro Blanco Resort & Marina,2316,1585,1.461198738170347,37.497160883280756,7166,888,0
Marathon FL Activities | Experiences | Faro Blanco Resort & Marina,2285,1028,2.222762645914397,29.57101167315175,5344,10,0
Hotels In Marathon Key Florida | Faro Blanco Resort & Marina,2054,1523,1.3486539724228497,43.73210768220617,5390,581,0
Marina Marathon FL | Faro Blanco Resort & Marina,1853,1417,1.3076923076923077,24.13973182780522,5177,39,0
Florida Keys Marinas | Marina | Faro Blanco Resort & Marina,1662,1282,1.296411856474259,23.253510140405616,4751,29,0
Marathon FL Hotels With Boat Slips | Faro Blanco Resort,1574,1157,1.3604148660328435,51.22817631806396,3737,65,0
Faro Blanco Resort Yacht Club - Reservations - Confirmation,1536,1335,1.150561797752809,51.64943820224719,2941,209,112991.8
Things To Do Marathon FL | Faro Blanco Resort & Marina,1520,1142,1.3309982486865148,59.29859894921191,3397,19,0
Marathon Key West Resorts | Faro Blanco Resort & Marina,1414,1055,1.3402843601895735,48.13838862559242,3426,74,0
Page Not Found,1262,1120,1.1267857142857143,5.959821428571429,4608,0,0
Florida Keys Event Venues | Faro Blanco Resort & Marina,1252,957,1.3082549634273772,30.510971786833856,3245,33,0
Florida Keys Wedding Venues | Events | Faro Blanco Resort & Marina,1119,762,1.468503937007874,30.793963254593177,2888,39,0
Bike Rentals in Marathon FL | Faro Blanco Resort & Yacht Club,991,803,1.2341220423412205,20.997509339975093,2631,5,0
Contact Us | Faro Blanco Resort & Marina,978,693,1.4112554112554112,59.00865800865801,2700,23,0
Florida Keys Wedding Venues | Faro Blanco Resort & Marina,925,710,1.3028169014084507,37.640845070422536,2582,10,0
Hotels In Marathon FL With Boat Slips | FAQ | Faro Blanco Resort,823,608,1.3536184210526316,48.51973684210526,1958,24,0
Things to do in Marathon FL | Marathon | Faro Blanco Resort & Marina,787,559,1.407871198568873,60.304114490161005,1917,8,0
Faro Blanco Resort Yacht Club - Reservations - Search for a Reservation,719,498,1.4437751004016064,77.72289156626506,1106,0,0
Games | Faro Blanco Resort & Yacht Club,676,591,1.143824027072758,14.079526226734348,1693,8,0
Marathon FL Resorts | Contact Us | Faro Blanco Resort & Marina,601,419,1.4343675417661097,39.92840095465394,1643,6,0
| Faro Blanco Resort & Yacht Club,599,257,2.330739299610895,19.673151750972764,1730,0,0
Key West Hotels Marathon | Accessibility | Faro Blanco Resort & Marina,574,462,1.2424242424242424,33.32683982683983,1314,13,0
Fishing Charters | Faro Blanco Resort,533,416,1.28125,47.06490384615385,1437,3,0
Car Rental in Marathon Key Florida | Faro Blanco Resort & Yacht Club,448,362,1.2375690607734806,21.723756906077348,1291,7,0
Vehicle Rentals | Faro Blanco Resort & Yacht Club,401,344,1.1656976744186047,25.98546511627907,1044,2,0
Fitness | Faro Blanco Resort & Yacht Club,391,317,1.2334384858044165,14.53627760252366,1006,2,0
Marathon FL Family Resorts | Games | Faro Blanco Resort & Yacht Club,378,325,1.1630769230769231,12.326153846153845,992,8,0
Florida Keys Marinas | Faro Blanco Resort & Marina,377,288,1.3090277777777777,23.88888888888889,1074,6,0
Best Fishing Charters in Marathon Florida | Faro Blanco Resort,321,228,1.4078947368421053,37.074561403508774,831,1,0
Wellness Event - Faro Blanco Resort & Yacht Club,314,221,1.420814479638009,15.289592760180996,946,6,0
"Careers at Faro Blanco Resort in Marathon, FL",313,179,1.7486033519553073,23.508379888268156,796,4,0
Faro Blanco Resort Yacht Club - Reservations - Reservation List,313,146,2.143835616438356,75.41095890410959,421,0,0
Faro Blanco Resort Yacht Club - Reservations - Search Reservation Results,306,160,1.9125,90.31875,522,30,0
Sitemap | Faro Blanco Resort & Yacht Club,283,194,1.458762886597938,19.7319587628866,690,0,0
Marathon Wedding Venues | Weddings | Faro Blanco Resort & Yacht Club,270,188,1.4361702127659575,64.10106382978724,845,1,0
Faro Blanco Resort Yacht Club - Reservations - Create a Profile,247,218,1.1330275229357798,73.6743119266055,325,0,0
Faro Blanco Resort Yacht Club - Reservations - Request A New Password,198,140,1.4142857142857144,79.12857142857143,314,0,0
Florida Keys Wedding Deals | Groups | Faro Blanco Resort & Yacht Club,179,114,1.5701754385964912,38.40350877192982,442,3,0
Fitness Center near Marathon FL | Faro Blanco Resort & Yacht Club,170,129,1.317829457364341,13.751937984496124,427,1,0
Marathon FL Family Resorts | Faro Blanco Resort & Marina,109,90,1.211111111111111,32.833333333333336,255,4,0
Groups | Faro Blanco Resort & Yacht Club,104,87,1.1954022988505748,28.344827586206897,244,3,0
Marathon FL Family Resorts | Privacy Policy | Faro Blanco Resort & Marina,81,53,1.528301886792453,22.528301886792452,186,3,0
Marathon Wedding Venues | Faro Blanco Resort & Yacht Club,64,46,1.391304347826087,63.78260869565217,189,0,0
Faro Blanco Resort Yacht Club - Reservations - Your Profile,55,50,1.1,48.94,69,0,0
Balneario Faro Blanco | Hoteles en Marathon FL | Página web oficial,1,43,0.023255813953488372,52.7906976744186,82,0,0
